"","package_name","package_version","package_title"
"207","ameco","0.2.8","European Commission Annual Macro-Economic (AMECO) Database"
"208","amei","1.0-7","Adaptive Management of Epidemiological Interventions"
"209","Amelia","1.7.4","A Program for Missing Data"
"210","amen","1.3","Additive and Multiplicative Effects Models for Networks and
Relational Data"
"211","AmericanCallOpt","0.95","This package includes pricing function for selected American<U+000a>call options with underlying assets that generate payouts."
"212","AmesHousing","0.0.3","The Ames Iowa Housing Data"
"213","AMGET","1.0","Post-processing tool for ADAPT 5"
"214","AMIAS","1.0.1","Alternating Minimization Induced Active Set Algorithms"
"215","aml","0.1-1","Adaptive Mixed LASSO"
"216","AMModels","0.1.2","Adaptive Management Model Manager"
"217","AmmoniaConcentration","0.1","Un-Ionized Ammonia Concentration"
"218","AMOEBA","1.1","A Multidirectional Optimum Ecotope-Based Algorithm"
"219","AMORE","0.2-15","A MORE flexible neural network package"
"220","AmostraBrasil","1.2","Generates Samples or Complete List of Brazilian IBGE (Instituto
Brasileiro De Geografia e Estatistica) Census Households,
Geocoding it by Google Maps"
"221","ampd","0.2","An Algorithm for Automatic Peak Detection in Noisy Periodic and
Quasi-Periodic Signals"
"222","AmpliconDuo","1.1","Statistical Analysis of Amplicon Data of the Same Sample to
Identify Artefacts"
"223","AmyloGram","1.1","Prediction of Amyloid Proteins"
"224","anacor","1.1-3","Simple and Canonical Correspondence Analysis"
"225","analogsea","0.5.0","Interface to 'Digital Ocean'"
"226","analogue","0.17-0","Analogue and Weighted Averaging Methods for Palaeoecology"
"227","analogueExtra","0.1-1","Additional Functions for Use with the Analogue Package"
"228","analytics","2.0","Regression Outlier Detection, Stationary Bootstrap, Testing Weak
Stationarity, and Other Tools for Data Analysis"
"229","analyz","1.4","Model Layer for Automatic Data Analysis via CSV File
Interpretation"
"230","AnalyzeFMRI","1.1-16","Functions for analysis of fMRI datasets stored in the ANALYZE or<U+000a>NIFTI format."
"231","AnalyzeTS","2.2","Analyze Fuzzy Time Series"
"232","anapuce","2.2","Tools for microarray data analysis"
"233","AncestryMapper","2.0","Assigning Ancestry Based on Population References"
"234","anchoredDistr","1.0.3","Post-Processing for the Method of Anchored Distributions"
"235","anchors","3.0-8","Statistical analysis of surveys with anchoring vignettes"
"236","AnDE","1.0","An extended Bayesian Learning Technique developed by Dr. Geoff<U+000a>Webb"
"237","andrews","1.0","Andrews curves"
"238","anesrake","0.75","ANES Raking Implementation"
"239","anfis","0.99.1","Adaptive Neuro Fuzzy Inference System in R"
"240","AnglerCreelSurveySimulation","0.2.1","Simulate a Bus Route Creel Survey of Anglers"
"241","angstroms","0.0.1","Tools for 'ROMS' the Regional Ocean Modeling System"
"242","aniDom","0.1.2","Inferring Dominance Hierarchies and Estimating Uncertainty"
"243","anim.plots","0.2","Simple Animated Plots for R"
"244","animalTrack","1.0.0","Animal track reconstruction for high frequency 2-dimensional<U+000a>(2D) or 3-dimensional (3D) movement data."
"245","animation","2.5","A Gallery of Animations in Statistics and Utilities to Create
Animations"
"246","anipaths","0.8.0","Animate Paths"
"247","ANLP","1.3","Build Text Prediction Model"
"248","anMC","0.2.0","Compute High Dimensional Orthant Probabilities"
"249","ANN2","1.5","Artificial Neural Networks for Anomaly Detection"
"250","AnnotationBustR","1.1","Extract Subsequences from GenBank Annotations"
"251","AnnotLists","1.2","AnnotLists: A tool to annotate multiple lists from a specific<U+000a>annotation file."
"252","AnnuityRIR","1.0-0","Annuity Random Interest Rates"
"253","anocva","0.1.1","A Non-Parametric Statistical Test to Compare Clustering
Structures"
"254","anoint","1.4","Analysis of Interactions"
"255","ANOM","0.5","Analysis of Means"
"256","anomalyDetection","0.2.4","Implementation of Augmented Network Log Anomaly Detection
Procedures"
"257","anominate","0.6","Alpha-NOMINATE Ideal Point Estimator"
"258","anonymizer","0.2.0","Anonymize Data Containing Personally Identifiable Information"
"259","ANOVAreplication","1.1.2","Test ANOVA Replications by Means of the Prior Predictive p-Value"
"260","AntAngioCOOL","1.2","Anti-Angiogenic Peptide Prediction"
"261","antaresProcessing","0.13","Antares Results Processing"
"262","antaresRead","2.0.2","Import, Manipulate and Explore the Results of an Antares
Simulation"
"263","antaresViz","0.12.0","Antares Visualizations"
"264","AnthropMMD","2.3.3","An R-Shiny Application for Smith's Mean Measure of Divergence
(MMD)"
"265","Anthropometry","1.9","Statistical Methods for Anthropometric Data"
"266","antitrust","0.95.1","Tools for Antitrust Practitioners"
"267","antiword","1.1","Extract Text from Microsoft Word Documents"
"268","AntWeb","0.7","programmatic interface to the AntWeb"
"269","anytime","0.3.0","Anything to 'POSIXct' or 'Date' Converter"
"270","aod","1.3","Analysis of Overdispersed Data"
"271","aods3","0.4-1","Analysis of Overdispersed Data using S3 methods"
"272","aoos","0.5.0","Another Object Orientation System"
"273","aop","1.0.0","Adverse Outcome Pathway Analysis"
"274","Aoptbdtvc","0.0.2","A-Optimal Block Designs for Comparing Test Treatments with
Controls"
"275","aoristic","0.6","aoristic analysis with spatial output (kml)"
"276","apa","0.2.0","Format Outputs of Statistical Tests According to APA Guidelines"
"277","ApacheLogProcessor","0.2.2","Process the Apache Web Server Log Files"
"278","apaStyle","0.5","Generate APA Tables for MS Word"
"279","apaTables","1.5.1","Create American Psychological Association (APA) Style Tables"
"280","apc","1.3","Age-Period-Cohort Analysis"
"281","APCanalysis","1.0","Analysis of Unreplicated Orthogonal Experiments using All
Possible Comparisons"
"282","apcluster","1.4.4","Affinity Propagation Clustering"
"283","apdesign","1.0.0","An Implementation of the Additive Polynomial Design Matrix"
"284","ape","5.0","Analyses of Phylogenetics and Evolution"
"285","apercu","0.2.3","Quick Look at your Data"
"286","apex","1.0.3","Phylogenetic Methods for Multiple Gene Data"
"287","APfun","0.1.2","Geo-Processing Helper Functions"
"288","aphid","1.0.1","Analysis with Profile Hidden Markov Models"
"289","aplore3","0.9","Datasets from Hosmer, Lemeshow and Sturdivant, ""Applied Logistic
Regression"" (3rd Ed., 2013)"
"290","aplpack","1.3.0","Another Plot PACKage: stem.leaf, bagplot, faces, spin3R,<U+000a>plotsummary, plothulls, and some slider functions"
"291","APML0","0.5","Augmented and Penalized Minimization Method L0"
"292","apmsWAPP","1.0","Pre- and Postprocessing for AP-MS data analysis based on<U+000a>spectral counts"
"293","apng","1.0","Convert Png Files into Animated Png"
"294","appell","0.0-4","Compute Appell's F1 hypergeometric function"
"295","apple","0.3","Approximate Path for Penalized Likelihood Estimators"
"296","AppliedPredictiveModeling","1.1-6","Functions and Data Sets for 'Applied Predictive Modeling'"
"297","appnn","1.0-0","Amyloid Propensity Prediction Neural Network"
"298","approximator","1.2-6","Bayesian prediction of complex computer codes"
"299","approxmatch","1.0","Approximately Optimal Fine Balance Matching with Multiple Groups"
"300","aprean3","1.0.1","Datasets from Draper and Smith ""Applied Regression Analysis""
(3rd Ed., 1998)"
"301","apricom","1.0.0","Tools for the a Priori Comparison of Regression Modelling
Strategies"
"302","aprof","0.3.9","Amdahl's Profiler, Directed Optimization Made Easy"
"303","APSIM","0.9.2","General Utility Functions for the 'Agricultural Production
Systems Simulator'"
"304","APSIMBatch","0.1.0.2374","Analysis the output of Apsim software"
"305","apsimr","1.2","Edit, Run and Evaluate APSIM Simulations Easily Using R"
"306","apsrtable","0.8-8","apsrtable model-output formatter for social science"
"307","apt","2.5","Asymmetric Price Transmission"
"308","aptg","0.1.0","Automatic Phylogenetic Tree Generator"
"309","APtools","3.0","Average Positive Predictive Values (AP) for Binary Outcomes and
Censored Event Times"
"310","apTreeshape","1.4-5","Analyses of Phylogenetic Treeshape"
"311","aqfig","0.8","Functions to help display air quality model output and<U+000a>monitoring data"
"312","aqp","1.15","Algorithms for Quantitative Pedology"
"313","aqr","0.4","Interface methods to use with an ActiveQuant Master Server"
"314","AquaEnv","1.0-4","Integrated Development Toolbox for Aquatic Chemical Model
Generation"
"315","AR","1.0","Another Look at the Acceptance-Rejection Method"
"316","AR1seg","1.0","Segmentation of an autoregressive Gaussian process of order 1"
"317","arabicStemR","1.2","Arabic Stemmer for Text Analysis"
"318","ArArRedux","0.2","Rigorous Data Reduction and Error Propagation of Ar40 / Ar39
Data"
"319","arc","1.1.3","Association Rule Classification"
"320","ARCensReg","2.1","Fitting Univariate Censored Linear Regression Model with
Autoregressive Errors"
"321","ArchaeoChron","0.1","Bayesian Modeling of Archaeological Chronologies"
"322","ArchaeoPhases","1.3","Post-Processing of the Markov Chain Simulated by 'ChronoModel',
'Oxcal' or 'BCal'"
"323","archdata","1.1","Example Datasets from Archaeological Research"
"324","archetypes","2.2-0","Archetypal Analysis"
"325","archiDART","3.0","Plant Root System Architecture Analysis Using DART and RSML
Files"
"326","archivist","2.2","Tools for Storing, Restoring and Searching for R Objects"
"327","archivist.github","0.2.2","Tools for Archiving, Managing and Sharing R Objects via GitHub"
"328","ArCo","0.3-1","Artificial Counterfactual Package"
"329","ArDec","2.0","Time series autoregressive-based decomposition"
"330","areaplot","1.2-0","Plot Stacked Areas and Confidence Bands as Filled Polygons"
"331","arf3DS4","2.5-10","Activated Region Fitting, fMRI data analysis (3D)."
"332","arfima","1.6-2","Fractional ARIMA (and Other Long Memory) Time Series Modeling"
"333","ArfimaMLM","1.3","Arfima-MLM Estimation For Repeated Cross-Sectional Data"
"334","argon2","0.2-0","Secure Password Hashing"
"335","argosfilter","0.63","Argos locations filter"
"336","argparse","1.1.0","Command Line Optional and Positional Argument Parser"
"337","argparser","0.4","Command-Line Argument Parser"
"338","ArgumentCheck","0.10.2","Improved Communication to Users with Respect to Problems in
Function Arguments"
"339","ari","0.1.0","Automated R Instructor"
"340","arm","1.9-3","Data Analysis Using Regression and Multilevel/Hierarchical
Models"
"341","arnie","0.1.2","""Arnie"" box office records 1982-2014"
"342","aroma.affymetrix","3.1.0","Analysis of Large Affymetrix Microarray Data Sets"
"343","aroma.apd","0.6.0","A Probe-Level Data File Format Used by 'aroma.affymetrix'
[deprecated]"
"344","aroma.cn","1.6.1","Copy-Number Analysis of Large Microarray Data Sets"
"345","aroma.core","3.1.1","Core Methods and Classes Used by 'aroma.*' Packages Part of the
Aroma Framework"
"346","ARPobservation","1.1","Tools for Simulating Direct Behavioral Observation Recording
Procedures Based on Alternating Renewal Processes"
"347","aRpsDCA","1.1.1","Arps Decline Curve Analysis in R"
"348","arrApply","2.0.1","Apply a Function to a Margin of an Array"
"349","ArrayBin","0.2","Binarization of numeric data arrays"
"350","arrayhelpers","1.0-20160527","Convenience Functions for Arrays"
"351","ars","0.5","Adaptive Rejection Sampling"
"352","arsenal","0.6.1","An Arsenal of 'R' Functions for Large-Scale Statistical
Summaries"
"353","ART","1.0","Aligned Rank Transform for Nonparametric Factorial Analysis"
"354","artfima","1.5","ARTFIMA Model Estimation"
"355","ARTIVA","1.2.3","Time-Varying DBN Inference with the ARTIVA (Auto Regressive TIme
VArying) Model"
"356","ARTool","0.10.4","Aligned Rank Transform"
"357","ARTP","2.0.4","Gene and Pathway p-values computed using the Adaptive Rank<U+000a>Truncated Product"
"358","ARTP2","0.9.32","Pathway and Gene-Level Association Test"
"359","arules","1.5-4","Mining Association Rules and Frequent Itemsets"
"360","arulesCBA","1.1.2","Classification Based on Association Rules"
"361","arulesNBMiner","0.1-5","Mining NB-Frequent Itemsets and NB-Precise Rules"
"362","arulesSequences","0.2-19","Mining Frequent Sequences"
"363","arulesViz","1.3-0","Visualizing Association Rules and Frequent Itemsets"
"364","aRxiv","0.5.16","Interface to the arXiv API"
"365","as.color","0.1","Assign Random Colors to Unique Items in a Vector"
"366","asaur","0.50","Data Sets for ""Applied Survival Analysis Using R"""""
"367","asbio","1.5","A Collection of Statistical Tools for Biologists"
"368","ascii","2.1","Export R objects to several markup languages"
"369","asciiSetupReader","1.2","Reads 'SPSS' and 'SAS' Files from ASCII Data Files (.txt) and
Setup Files (.sps or .sas)"
"370","asd","2.2","Simulations for Adaptive Seamless Designs"
"371","asdreader","0.1-3","Reading ASD Binary Files in R"
"372","ash","1.0-15","David Scott's ASH Routines"
"373","ashr","2.0.5","Methods for Adaptive Shrinkage, using Empirical Bayes"
"374","asht","0.9.3","Applied Statistical Hypothesis Tests"
"375","ASICS","1.0.0","Automatic Statistical Identification in Complex Spectra"
"376","AsioHeaders","1.11.0-1","'Asio' C++ Header Files"
"377","ASIP","0.3.2","Automated Satellite Image Processing"
"378","aslib","0.1","Interface to the Algorithm Selection Benchmark Library"
"379","ASMap","1.0-2","Linkage Map Construction using the MSTmap Algorithm"
"380","asnipe","1.1.7","Animal Social Network Inference and Permutations for Ecologists"
"381","aspace","3.2","A collection of functions for estimating centrographic<U+000a>statistics and computational geometries for spatial point<U+000a>patterns"
"382","ASPBay","1.2","Bayesian Inference on Causal Genetic Variants using Affected
Sib-Pairs Data"
